#{"t_start": 1747753391.3896956, "env_id": "None"}
r,l,t
-1.0,1,25.85725
-1.0,1,25.894259
-0.9,4,26.025438
-0.9,2,26.09155
-1.0,3,26.198314
-1.0,3,26.297014
-0.9,4,26.419206
-1.1,2,26.475983
-1.1,2,26.528325
-1.0,1,26.563247
-0.9,2,26.630378
-1.0,5,26.795693
-1.2,3,26.882372
-1.0,1,26.909755
-1.0,3,27.014299
-1.1,2,27.077584
-0.9,2,27.124445
-1.0,1,27.162628
-1.1,2,27.223081
-1.2,5,27.361426
-1.1,2,27.40995
-1.0,1,27.456309
-0.9,2,27.511762
-0.9,4,27.626834
-1.1,4,27.762108
-1.0,1,27.798448
-1.2,7,27.998473
-1.0,1,28.039288
-1.0,1,28.075961
-1.0,3,28.155556
-1.0,1,28.186237
-1.0,1,28.228422
-1.1,2,28.299989
-1.0,1,28.324847
-1.0,3,28.420439
-1.0,1,28.45748
-1.0,1,28.500755
-1.0,1,28.523087
-1.0,1,28.560733
-1.1,2,28.634153
-1.0,1,28.669824
-1.0,1,28.704947
-1.0,3,28.82047
-1.0,1,28.857069
-0.9,2,28.906406
-1.0,1,28.943127
-1.1,2,29.017805
-1.2,3,29.114177
-1.0,1,29.154845
-1.0,1,29.185864
-1.2,3,29.263837
-1.1,2,29.324191
-1.0,1,29.34915
-1.0,1,29.380118
-0.9,2,29.456726
-1.0,3,29.539101
-1.0,1,29.569032
-1.0,1,29.598146
-1.0,1,29.620845
-0.9,2,29.681916
-1.0,3,29.784554
-1.1,2,29.822559
-1.1,2,29.889359
-1.0,3,29.975176
-1.0,1,30.009605
-1.0,1,30.042192
-1.0,1,30.070798
-1.0,1,30.107493
-1.1,2,30.179782
-0.9,2,30.237898
-1.0,1,30.25943
-1.0,5,30.451127
-1.0,1,30.470851
-1.0,1,30.503871
-1.0,1,30.543329
-0.8,5,30.651607
-1.1,2,30.72398
-0.8,3,30.824866
-1.0,1,30.865013
-0.9,4,30.975154
-1.2,7,31.230925
-1.0,1,31.261
-1.2,3,31.361246
-1.0,1,31.403522
-1.0,1,31.438895
-1.0,1,31.484959
-1.0,1,31.521065
-1.0,3,31.61956
-0.9,2,31.692892
-1.0,1,31.731068
-1.2,5,31.867466
-1.0,3,31.96277
-1.0,1,31.982525
-1.0,1,32.036428
-1.2,3,32.123141
-0.9,2,32.179934
-1.0,1,32.218053
-1.0,1,32.252539
-1.0,1,32.295606
-1.0,3,32.371151
-1.0,1,32.404207
-1.1,2,32.464912
-1.1,2,32.499682
-0.9,2,32.563887
-1.1,4,32.691681
-1.1,4,32.792492
-1.0,1,32.8268
-1.0,1,32.865048
-0.8,3,32.942319
-1.0,1,32.979864
-1.0,1,33.019711
-1.0,9,33.300993
-1.0,1,33.326009
-1.0,1,33.356193
-0.9,4,33.46219
-1.1,4,33.590481
-1.1,2,33.665353
-1.1,4,33.797448
-1.0,1,33.833238
-1.0,1,33.869081
-1.1,2,33.929996
-1.0,1,33.967221
-1.0,1,33.992879
-1.0,1,34.027738
-1.0,3,34.108127
-1.1,2,34.186641
-1.0,1,34.219996
-1.0,1,34.259201
-1.0,3,34.353471
-1.0,1,34-1.0,7,34-1.0,1,34-1.0,1,34.519727
-1.1,2,34-1.1,2,34-1.0,1,34-1.0,1,34-1.0,1,34-1.0,1,34-1.0,1,34-1.3,6,34.772458
-0.9,4,34.924261
-0.9,2,34.985524
-1.0,1,35.015395
-1.0,1,35.050446
-1.0,1,35.087322
-1.0,1,35.127941
-1.0,1,35.169268
-1.0,1,35.204592
-1.1,2,35.273465
-1.0,1,35.315046
-1.2,3,35.391407
-1.0,1,35.426369
-1.0,1,35.464122
-1.1,2,35.530786
-1.0,1,35.566363
-1.0,1,35.609555
-1.2,3,35.681681
-1.1,2,35.740196
-1.0,1,35.786233
-1.1,2,35.855943
-1.0,3,35.924436
-1.0,1,-0.9,6,36.0-1.0,3,36.070909
-1.0,1-1.1,4,36.302957
-1.1,2,36.359134
-1.0,1,36.407475
-0.7,4,36.521686
--1.0,11,36.615264-1.0,3,36.73253
-0.9,2,36.805261
-1.-0.6,7,36.978678
-1.1,4,37.099118
-0.8,3,37.191144
-1.0,1,37.209963
-0.8,3,37.310596
-1.1,2,37.372585
-1.0,3,37.466477
-1.0,1,37.509846
-1.0,1,37.5497
-1.2,3,37.626847
-0.9,4,37.724969
-1.0,3,37.826997
-1.0,1,37.864101
-1.0,1,37.90142
-0.9,2,37.96187
-1.1,2,38.021109
-1.0,1,38.058244
-0.7,6,38.236516
-0.9,4,38.363279
-1.1,2,38.440029
-1.3,6,38.621828
-0.7,4,38.770789
-1.0,1,38.804576
-1.0,3,38.886562
-1.4,5,39.026786
-0.8,5,39.163764
-1.0,1,39.20302
-1.1,2,39.273471
-1.0,3,39.389087
-1.1,2,39.463586
-1.0,1,39.484544
-1.1,2,39.559568
-1.1,2,39.623706
-1.1,2,39.69133
-1.1,2,39.739398
-1.0,1,39.757933
-1.0,1,39.792904
-0.9,2,39.843441
-1.0,1,39.887606
-0.8,3,39.953787
-1.0,1,39.988375
-1.0,1,40.025646
-1.0,1,40.060343
-0.8,3,40.15507
-0.9,2,40.230317
-0.9,4,40.347269
-1.0,7,40.577365
-1.2,3,40.669146
-1.0,1,40.710114
-1.0,1,40.751134
-1.2,3,40.813373
-1.0,1,40.857807
-1.0,1,40.892577
-1.1,6,41.08316
-1.2,3,41.173049
-1.0,7,41.425755
-1.0,1,41.465785
-1.0,1,41.494445
-1.0,1,41.533746
-1.0,1,41.579896
-1.0,1,41.624456
-1.0,1,41.659276
-0.9,2,41.719194
1.0,1,41.759707
-1.0,1,41.796418
-1.0,1,41.830641
-1.0,1,41.864343
-1.0,3,41.976223
-1.0,1,42.004803
-1.0,1,42.029247
-1.2,3,42.117643
-1.0,1,42-1.0,3,42-1.1,2,-1.1,4,42.228443
-1.0,1,42.2-1.0,7,42.522862
-0.9,2,42.581578
-1.0,5,42.737684
-1.0,1-1.3,10,42.806671
-0.8,5,42.965605
-1.0,1,42.996245
-1.0,1,43.027855
-1.0,1,43.070676
-0.9,2,43.132987
-0.9,4,43.278299
-0.8,3,43.349207
-1.0,1,43.390653
-0.6,5,43.53791
-1.0,1,43.570377
-1.0,1,43.60534
-0.9,2,43.672205
-1.1,2,43.727605
-1.0,1,43.769696
-1.0,1,43.807014
-1.0,1,43.842225
-0.9,2,43.-0.9,4,44.022344
-1.3,10,44.368524
-1.1,2,44.441981
-0.9,2,44.508282
-1.0,1,44.544286
-1.0,1,44.567007
-0.9,2,44.635484
-1.0,3,44.709743
-1.0,1,44.744453
-1.1,2,44.820751
-0.9,2,44.893979
-1.1,2,44.955241
-1.0,1,44.996135
-0.9,2,45.068827
-1.0,1,45.112268
-1.0,1,45.131578
-1.3,4,45.287213
-1.0,3,45.379133
-1.0,1,45.416847
-1.0,3,45.516166
-1.0,1,45.552676
-1.0,1,45.588199
-1.0,3,45.688921
-0.9,2,45.747826
-1.0,1,45.783227
-1.0,1,45.822639
-1.0,1,45.869894
-0.8,3,45.947968
-1.0,1,45.984996
-1.0,1,46.022736
-1.1,2,46.083776
-1.0,1,46-0.9,2,46-1.0,1,4-1.0,1,46.193977
-1.1,2,46.252805
-0.8,7,46.451715
-1.2,3,46.553003
-1.0,1,46.593047
-1.0,1,46.629908
-1.2,3,46.723318
-1.0,1,46.757667
-1.0,1,46.801887
-1.0,1,46.840605
-1.0,3,46.962604
-1.0,1,47.003733
-1.0,3,47.127528
-1.0,1,47.168656
-1.1,2,47.205228
-1.0,1,47.2549
-0.9,2,47.318079
-1.0,1,47.351658
-1.0,1,47.-1.0,3,4-1.1,2,47.-1.1,4,47.540189
-1.0,1,47.581495
-1.1,4,47.703682
-0.8,3,47.797478
-1.0,1,47.831211
-1-1.0,5,47.800131-1.0,5,48.025541
-0.9,12,48.360067
-1.3,4,48.491697
-1.0,1,48.529275
-1.1,2,48.573511
-0.8,7,48.795647
-1.0,1,48.825879
-1.0,1,48.855652
-1.1,2,48.931592
-1.0,1,48.955585
-1.0,3,49.049598
-1.1,2,49.087761
-1.0,3,49.167393
-1.0,1,49.207867
-0.7,6,49.407223
-1.0,1,49.432609
-1.0,3,49.525769
-1.1,2,49.570681
-1.0,1,49.615103
-1.2,3,49.69287
-1.0,1,49.728398
-1.0,3,49.800215
-1.0,1,49.823827
-1.1,2,49.900328
-1.0,1,49.938459
-0.9,2,49.997308
-1.0,1,50.035057
-0.9,2,50.092007
-1.0,1,50.140286
-1.0,3,50.237865
-1.0,1,50.276524
-1.1,4,50.37825
-1.0,1,50.41486
-1.1,4,50.523143
-1.0,1,50.566893
-1.0,3,50.663724
-1.1,2,50.721233
-1.1,2,50.801137
-1.0,1,50.837634
-1.2,11,51.1524
-1.1,8,51.355205
-1.2,3,51.456744
-1.0,1,51.493484
-1.0,1,51.517108
-1.0,1,51.555196
-1.0,5,51.729501
-0.9,2,51.805091
-0.9,2,51.862905
1.0,1,51.898655
-1.1,2,51.974592
-1.0,1,52.006908
-0.7,4,52.123555
-1.2,3,52.221833
-0.9,2,52.280604
-0.7,4,52.410618
-0.9,2,52.46903
-1.0,3,52.580218
-1.0,1,52.61559
-1.1,4,52.713827
-1.1,2,52.773338
-1.1,2,52.829311
-0.9,2,52.888802
-1.0,1,52.922596
-1.0,3,53.021293
-1.0,1,53.04285
-1.0,1,53.066822
-1.1,2,53.137049
-1.0,1,53.172677
-1.0,1,53.218127
0.9,4,53.323537
-0.9,4,53.440435
-1.0,1,53.477113
-1.1,4,53.621946
-0.9,2,53.68103
-1.1,2,53.743181
-1.0,3,53.825333
-1.0,1,53.863201
-0.9,2,53.918918
-1.0,3,54.005267
-1.0,9,54.328877
-1.0,1,54.369445
-1.1,4,54.454889
-1.0,1,54.497944
-1.0,1,54.530895
-1.0,1,54.565282
-1.0,1,54.604296
-1.1,2,54.683156
-1.1,4,54.781004
-0.9,2,54.837508
-0.9,2,54.915148
-0.9,2,54.980818
-1.0,1,55.003631
-1.0,1,55.042555
-1.0,1,55.086655
-1.0,1,55.122523
-1.0,3,55.200693
-0.9,2,55.274838
-1.0,1,55.312679
-1.1,2,55.391073
-1.0,1,55.426836
-1.0,1,55.457583
-1.1,4,55.592691
-1.1,4,55.71346
-1.0,3,55.825529
-0.8,5,55.965761
-1.3,4,56.092856
-1.0,1,56.135532
-1.1,2,56.190311
-1.0,1,56.226322
-1.0,9,56.517066
-1.0,1,56.55929
-1.0,1,56.596584
-1.0,1,56.635534
-1.2,3,56.733449
-1.0,1,56.774729
-1.0,1,56.79563
-1.0,1,56.835165
-1.0,3,56.944113
-1.0,1,56.978154
-1.0,1,57.009976
-1.0,3,57.098687
-1.0,1,57.13552
-0.9,2,57.177992
-1.0,1,57.215499
-1.1,4,57.32905
-1.1,2,57.406245
-0.9,2,57.467742
