#{"t_start": 1747817255.8713536, "env_id": "None"}
r,l,t
11.7,8,11.633262
11.5,8,11.844387
1.2,3,11.910679
1.2,7,12.481446
1.2,3,12.550573
1.1.4,5,12.19117
1.4,7,12.346249
1.1,24,13.121843
1.6,7,13.312601
1.4,9,13.546105
1.5,8,13.730609
1.5,6,13.870763
11.9,12,13.601304
1.9,10,13.845527
1.1.8,9,14.448757
1.1,2,14.494812
1.6,7,14.7393331.1.6,7,14.885956
1.5,8,14.557217
1.8,9,14.751493
1.6,7,14.896945
12.1,12,15.464571
1.9,10,15.6928
-0.8,3,15.769668
1.1,2,15.81831.2,95,17.3895
1.1,2,17.435134
1.4,7,17.582481
1.0,15,17.915405
1.3,10,18.136787
1.6,7,18.305275
1.5,6,18.456697
1.5,6,18.581891
1.4,5,18.693505
1.4,7,18.865981
1.0,1,18.892403
1.6,9,19.089043
1.4,5,19.200598
-0.8,3,19.279714
1.6,11,19.541997
1.4,5,19.651876
1.7,8,19.846188
1.3,14,20.14166
-0.7,4,20.233735
1.3,4,20.324994
1.3,12,20.586089
1.3,4,20.66975
1.2,3,20.739168
1.0,1,20.7649
1.6,7,20.921945
1.4,5,21.036623
0.6,17,21.408055
2.0,11,21.639373
2.0,11,21.891778
1.2,5,22.019601
-1.0,11.1,144,23.320871
1.2,3,23.385644
1.5,8,23.563696
1.6,21,25.473303
1.6,7,25.702441
1.8,9,25.939352
1.6,7,26.089492
1.2,3,26.164467
1.3,4,26.249075
1.9,16,26.613445
-0.7,4,26.714163
-0.6,5,26.825689
1.1,2,26.883128
1.5,6,27.013195
1.0,1,27.038724
1.4,5,27.144963
1.4,5,27.276255
-0.8,3,27.346472
1.4,5,27.459551
1.2,3,27.523932
1.7,8,27.705966
1.6,7,27.989458
1.9,10,28.219546
1.8,13,28.508006
-0.8,3,28.574487
1.3,4,28.663826
1.7,8,28.840566
1.7,10,29.076285
-0.8,3,29.138484
1.5,6,29.295219
1.3,4,29.391723
1.5,6,29.532412
1.5,22,30.038816
1.5,6,30.210185
1.3,4,30.313135
1.3,4,30.430557
1.7,8,30.676693
1.2,3,30.760173
1.6,7,30.943657
1.1,2,31.038016
1.2,3,31.153834
1.4,5,31.313208
1.5,6,31.544201
1.7,8,31.836463
1.8,9,32.11796
1.1,2,32.182623
1.5,6,32.421709
1.0,1,32.448045
1.0,3,32.541366
1.3,4,32.644881
5
1.2,3,29.90027
1.6,7,30.093208
1.2,3,30.192585
1.5,6,30.371256
1.5,6,30.528787
1.2,3,30.669507
1.2,3,30.777422
1.3,4,30.937066
1.3,4,31.035588
1.6,7,31.302056
,5,30.385323
-1.0,1,30.414822
1.6,7,30.621573
1.4,7,30.826869
1.3,4,30.927985
1.4,5,31.119441
-0.7,4,31.259948
2.3,14,31.750553
1.1,2,31.836272
1.6,7,32.051558
1.7,8,32.38157
1.9,10,32.661371
