#{"t_start": 1747751785.5006213, "env_id": "None"}
r,l,t
-1.0,1,15.097602
-1.1,6,15.168233
-1.1,2,15.196067
-1.1,2,15.227276
-1.0,1,15.243852
-0.8,3,15.288824
-1.1,2,15.318603
-1.1,4,15.365138
-1.0,1,15.382958
-1.0,1,15.401766
-1.0,3,15.448419
1.0,1,15.472556
-1.0,3,15.50873
-1.0,1,15.528158
-1.0,1,15.542943
-1.0,1,15.56288
-1.0,1,15.576651
-0.9,2,15.613405
-1.0,1,15.631525
-1.0,1,15.649357
-1.0,5,15.729618
-1.0,1,15.746775
-1.0,1,15.764557
-1.0,1,15.786404
-1.3,4,15.850434
-1.1,4,15.897326
-0.9,2,15.932489
-1.0,1,15.949538
-1.1,2,15.980901
-1.0,3,16.022986
-1.0,1,16.042386
-1.0,1,16.061701
-1.0,1,16.076555
-1.0,1,16.092275
-1.1,2,16.122468
-1.0,1,16.144223
-1.0,1,16.166547
-0.9,2,16.210503
-0.9,2,16.238723
-1.0,1,16.256068
-1.0,1,16.27247
-1.1,2,16.302277
-1.0,1,16.322969
-1.1,4,16.383633
-1.2,3,16.432868
-1.0,7,16.526999
-0.9,2,16.560527
-1.0,1,16.57742
-1.0,1,16.60088
-1.0,1,16.621888
-1.1,2,16.659242
-1.0,1,16.685516
-1.0,1,16.704
-0.9,2,16.733307
-0.9,6,16.823993
-0.9,2,16.853385
-1.0,3,16.9027
-1.1,2,16.932666
-1.0,1,16.956493
-1.1,2,16.988708
-1.0,1,17.012858
-1.0,1,17.035798
-0.9,2,17.071895
1.0,3,17.118152
-1.1,4,17.17239
-1.0,3,17.226997
-1.0,1,17.247141
-1.3,8,17.352719
-1.0,1,17.37157
-1.0,1,17.39243
-1.0,1,17.413136
-1.2,3,17.458133
1.0,1,17.476946
-1.0,1,17.493349
-1.0,1,17.510946
-1.1,4,17.561447
-1.0,1,17.581142
-1.0,1,17.596439
-1.0,1,17.615743
-1.1,2,17.648441
-1.1,2,17.677168
-1.0,3,17.711463
-0.9,2,17.74336
-1.0,1,17.763261
-1.0,1,17.798536
-1.0,1,17.82673
-1.0,1,17.843226
-1.0,1,17.870116
-1.1,2,17.898536
-1.0,3,17.948649
-1.0,1,17.972445
-0.9,2,18.009982
-1.0,3,18.046495
-1.0,1,18.070227
-1.0,1,18.105862
-1.0,1,18.12884
-1.1,2,18.18274
-1.0,1,18.20598
-1.1,2,18.234379
-1.1,2,18.268756
-1.0,1,18.295861
-1.0,1,18.317283
-1.0,1,18.341752
-1.1,4,18.401991
-1.0,3,18.477163
-1.0,1,18.508074
-1.0,1,18.577811
-1.1,2,18.631058
-1.1,2,18.68452
-1.0,1,18.714567
-1.0,1,18.745023
-1.0,1,18.774469
-1.0,1,18.793459
-1.0,1,18.869885
-1.0,1,19.012683
-1.1,2,19.06953
-1.0,1,19.103075
-1.0,3,19.201733
-1.0,1,19.279055
-1.0,1,19.341299
-1.1,4,19.425308
-1.0,3,19.509134
-1.0,1,19.543696
-1.2,3,19.630329
-1.0,1,19.737884
-1.0,1,19.772985
-1.2,3,19.844308
-1.0,3,19.951337
-1.1,2,20.012508
-1.1,2,20.07593
-1.1,2,20.123382
-0.9,4,20.219177
-1.0,1,20.248908
-1.0,1,20.279324
-1.0,1,20.320538
-1.0,1,20.343377
-1.0,1,20.366686
-1.0,1,20.412494
-1.0,1,20.437529
-1.1,2,20.486041
-1.0,3,20.564175
-1.0,1,20.583096
-1.0,1,20.63525
-0.9,2,20.687259
-1.0,1,20.713643
-0.9,2,20.769294
-1.0,3,20.830093
-1.0,1,20.867843
