#{"t_start": 1747757839.2502089, "env_id": "None"}
r,l,t
-1.0,1,27.839617
-1.0,1,27.872014
-0.9,2,27.925934
-1.0,1,27.953727
-0.8,3,28.041024
-0.9,2,28.09939
-1.1,4,28.193452
-1.0,1,28.223067
-0.9,4,28.326373
-1.0,1,28.369817
-0.9,6,28.518698
-1.1,2,28.574821
-1.0,1,28.600821
-1.0,1,28.634994
-1.0,1,28.672168
-1.0,1,28.692497
-1.0,1,28.711717
-0.9,4,28.816627
-1.1,2,28.872495
-0.9,4,28.97072
-1.0,1,29.002156
-1.3,6,29.182563
-0.8,3,29.254075
-0.9,2,29.30899
-1.1,2,29.363813
-1.1,2,29.408564
-0.9,14,29.781742
-1.0,1,29.811186
-1.0,3,29.890777
-1.0,3,29.94899
-0.9,2,30.017715
-0.9,2,30.079989
-1.1,2,30.138798
-1.1,2,30.175873
-1.0,1,30.210323
-1.0,3,30.29217
-1.1,4,30.438958
-0.9,2,30.498432
-1.0,1,30.536613
-1.0,5,30.692739
-1.3,4,30.811606
-0.9,4,30.905139
-1.0,3,30.979288
-0.9,2,31.042436
-1.1,2,31.107155
-0.8,3,31.197448
-1.1,2,31.267123
-1.0,1,31.302649
-1.0,1,31.333649
-1.1,2,31.407449
-1.1,4,31.52093
-0.6,9,31.766154
-1.0,1,31.798268
-1.2,3,31.874375
-1.2,3,31.962863
-1.0,3,32.047189
-1.0,3,32.133792
-1.2,3,32.235566
-1.0,1,32.27167
-1.0,5,32.446772
-1.0,1,32.485229
-0.8,3,32.583498
-1.0,1,32.622681
-1.1,2,32.683375
-1.1,4,32.793606
-0.9,2,32.85609
-1.0,1,32.894862
-1.2,3,32.980466
-1.0,1,33.003641
-0.9,2,33.059242
-1.0,1,33.086716
-0.8,7,33.299439
-1.0,1,33.333295
-1.0,3,33.396168
-1.0,1,33.4296
-1.0,1,33.466095
-0.8,3,33.549654
-1.0,1,33.579921
-1.1,4,33.696838
-0.8,3,33.787171
-0.8,3,33.87215
-1.0,5,34.017508
-1.0,1,34.04757
-1.0,1,34.077442
-1.0,1,34.10379
-1.0,1,34.133631
-1.0,1,34.155848
-1.0,1,34.183749
-0.9,2,34.232603
-1.0,1,34.266076
-1.0,1,34.292956
-1.1,2,34.344517
-1.2,5,34.482206
-1.3,6,34.684361
-0.9,2,34.733632
-1.0,3,34.793677
-0.9,4,34.916088
-1.0,1,34.960195
-1.1,2,35.018501
-0.9,2,35.072112
-1.0,1,35.109249
-1.0,1,35.133583
-0.9,2,35.193206
-1.0,1,35.222693
-1.2,3,35.282642
-0.8,5,35.412426
-1.0,1,35.446265
-1.0,1,35.478852
-1.0,5,35.613341
-1.2,5,35.746357
-1.0,1,35.767688
-1.1,6,35.933484
-1.0,3,36.017432
-1.0,1,36.05889
-1.1,2,36.11225
-1.0,1,36.137516
-0.8,7,36.318047
-1.0,3,36.413344
-0.9,4,36.54284
-1.0,1,36.580163
-1.0,3,36.676839
-1.0,1,36.717155
-1.0,1,36.745517
