#{"t_start": 1748428079.6689258, "env_id": "None"}
r,l,t
-1.0,1,26.014797
-1.2,3,26.095579
-1.0,1,26.130059
-1.0,1,26.167105
-1.0,1,26.194093
-1.1,2,26.248001
-1.2,3,26.342123
-1.1,2,26.394954
-1.0,1,26.423343
-1.1,4,26.529436
-1.0,1,26.56671
-1.2,3,26.650031
-0.9,2,26.69948
-1.1,2,26.746993
1.0,3,26.821928
-1.1,2,26.882924
-1.0,3,26.969096
-1.0,1,26.997224
-1.0,1,27.021825
-0.8,3,27.117655
-1.1,2,27.700411
-1.0,1,27.733011
-1.0,3,27.796526
-1.0,1,27.820725
-0.8,3,27.885199
-1.0,1,27.915596
-1.0,1,27.947232
-1.0,1,27.978037
-1.0,1,28.00561
-1.0,1,28.033134
-0.9,2,28.097429
-1.1,2,28.147955
-1.0,1,28.169461
-1.0,1,28.202387
-1.0,3,28.290863
-1.0,1,28.328019
-1.0,1,28.366112
-1.0,1,28.395427
1.0,1,28.42042
-1.3,4,28.529978
-1.1,2,28.578219
-1.0,1,28.602124
-1.0,1,28.633626
-0.9,2,28.679958
-1.0,1,28.715174
-0.8,3,28.795267
-1.0,5,28.916656
-1.0,3,28.996174
-0.9,8,29.214781
-0.9,2,29.280919
-0.9,2,29.332363
-1.0,1,29.366269
-1.0,1,29.387823
-1.0,1,29.414367
-0.9,2,29.467605
-1.0,1,29.499448
-1.0,1,29.526608
-1.1,2,29.575667
-1.0,5,29.709256
-1.0,1,29.736981
-1.0,1,29.766348
-1.0,1,29.795121
-1.0,1,29.821129
-1.0,1,29.850054
-1.0,1,29.880955
-1.0,1,29.910718
-1.0,1,29.931606
-1.2,3,30.032451
-1.0,1,30.060698
-1.1,2,30.11151
-1.0,1,30.136566
-1.0,1,30.171741
-1.1,2,30.232012
-1.2,3,30.314276
-1.1,2,30.36393
-1.0,1,30.395744
-1.0,1,30.416232
-1.0,1,30.447159
-1.1,2,30.52334
-1.0,1,30.550806
-1.0,1,30.57267
-1.1,2,30.632761
-1.1,2,30.682005
-0.9,2,30.747013
-1.0,1,30.765466
-0.9,2,30.824249
-1.0,1,30.847049
-1.0,1,30.872154
-1.0,3,30.960324
-1.2,13,31.273823
-1.0,1,31.310086
-1.1,2,31.349974
-1.1,6,31.486537
-1.1,6,31.657839
-1.0,1,31.690863
-1.0,1,31.728232
-1.0,1,31.752081
-1.0,1,31.778105
-1.1,2,31.844106
-1.1,2,31.892902
-1.1,4,31.995061
-1.0,1,32.021583
-0.9,2,32.068766
-1.0,1,32.103608
-0.9,2,32.150914
-1.1,2,32.19369
-1.0,1,32.220392
-1.0,3,32.299875
-0.9,2,32.371803
-0.9,2,32.447157
-0.9,2,32.514612
-1.0,1,32.554814
-1.2,3,32.634554
-1.2,3,32.734463
-1.0,1,32.772807
-1.0,1,32.814651
-0.9,2,32.889261
-1.0,1,32.920076
-1.0,1,32.958235
-1.1,2,33.007614
-1.0,1,33.038244
-1.1,4,33.14812
-1.0,1,33.183627
-0.8,3,33.265853
-1.0,1,33.299662
-1.0,1,33.331723
-1.0,3,33.421258
-1.2,3,33.501127
-1.0,1,33.524887
-1.2,5,33.701217
-0.9,2,33.770024
