#{"t_start": 1747382598.029586, "env_id": "None"}
r,l,t
-1.0,1,30.273843
-1.1,2,30.322116
-1.0,1,30.348982
-1.0,1,30.379203
-1.2,3,30.519125
-1.0,3,30.639798
-1.1,2,30.697256
-1.0,3,30.761958
-1.0,1,30.797236
-1.0,3,30.963357
-1.1,2,31.045238
-0.9,2,31.11255
-1.3,4,31.275372
-1.1,6,31.539596
-1.0,1,31.578258
-1.0,1,31.646236
-1.0,1,31.680181
-0.9,2,31.767884
-1.0,1,31.813781
-1.1,2,31.902392
-1.0,1,31.935221
-0.9,2,32.015264
-1.0,1,32.05468
-1.0,1,32.084536
-1.0,1,32.110487
-1.0,1,32.136816
-1.0,1,32.191698
-1.0,1,32.224333
-1.1,2,32.281542
-1.0,1,32.31127
-1.1,2,32.381084
-1.0,1,32.404415
-1.0,1,32.43006
-1.0,1,32.460281
-1.0,3,32.634896
-0.9,2,32.812054
-1.0,1,32.860631
-1.0,1,32.913596
-1.0,3,33.053092
-1.1,2,33.218715
-1.0,1,33.305029
-1.0,1,33.365018
-1.1,2,33.466445
-1.0,1,33.503924
-0.8,3,33.631968
-1.0,1,33.665104
-0.9,4,33.884137
-1.0,3,34.145361
-1.0,1,34.197487
-1.1,2,34.305189
-1.1,2,34.486799
-1.1,2,34.596195
-1.0,1,34.645913
-1.0,1,34.690531
-1.1,2,34.786891
-1.0,1,34.821227
-1.0,5,35.038965
-0.9,4,35.160717
-1.1,2,35.254002
-1.0,1,35.282494
-1.0,1,35.329868
-1.0,1,35.356652
-0.9,2,35.43617
-1.0,1,35.46237
-1.0,1,35.499344
-0.9,2,35.573612
-0.8,5,35.818444
-1.0,1,35.858214
-1.0,1,35.927765
-1.0,9,36.364632
-1.0,1,36.403679
-1.0,3,36.511799
-1.1,2,36.594071
-1.1,2,36.661387
-1.0,1,36.725351
-1.0,1,36.791555
-1.1,2,36.867266
-1.0,1,36.89263
-1.0,1,36.940696
-0.9,2,37.026598
-1.1,2,37.071153
-1.1,4,37.183496
-1.1,4,37.360793
-1.0,1,37.384737
-1.0,1,37.439134
-1.0,1,37.495718
-1.0,1,37.528014
-1.0,3,37.691789
-1.0,1,37.717507
-1.0,1,37.745777
-1.0,1,37.801586
-1.0,1,37.832811
-1.0,1,37.85804
-1.2,3,37.978426
-1.0,1,38.002244
-1.0,3,38.071899
-1.0,3,38.195798
-1.0,3,38.273919
-1.0,1,38.312928
-1.0,1,38.343078
-1.0,3,38.410332
-0.9,2,38.467592
-1.0,1,38.495283
-1.0,1,38.528022
-1.0,1,38.554277
-1.0,1,38.57838
-1.1,2,38.617427
-1.0,3,38.741552
-0.9,2,38.810502
-1.0,1,38.836996
-0.9,2,38.908475
-0.9,2,38.957832
-1.2,3,39.053499
-1.0,1,39.0828
-0.8,5,39.236208
-1.0,1,39.262331
-0.7,4,39.429699
-1.0,1,39.471884
-1.0,1,39.498947
-1.1,2,39.573451
-1.0,1,39.600245
-1.1,2,39.707198
-1.0,1,39.7337
-1.0,1,39.756789
-1.0,1,39.800707
-1.0,1,39.829923
-1.0,1,39.856102
-1.0,1,39.878932
-1.0,1,39.90228
-1.0,1,39.954073
-1.1,2,40.015329
-0.9,2,40.077996
-1.0,1,40.102952
-1.2,7,40.326925
-1.0,7,40.477063
-1.1,2,40.537749
-1.0,1,40.577723
-1.0,3,40.663993
-1.0,1,40.689157
-1.1,2,40.743965
-1.0,1,40.766675
-1.0,1,40.789964
-1.1,4,40.906984
-1.0,1,40.934798
-1.0,1,40.960409
-1.1,2,41.026434
-1.4,7,41.25863
-0.9,2,41.338202
-1.0,1,41.392497
-0.9,2,41.453278
-0.9,2,41.563473
-1.0,1,41.623194
-1.0,1,41.660642
-1.0,1,41.721855
-1.0,1,41.748778
-1.0,1,41.774358
-1.0,1,41.834665
-1.0,1,41.899425
-1.0,1,41.967497
-0.9,2,42.044864
-0.9,2,42.116902
-1.0,1,42.149416
-1.0,3,42.253214
-1.0,1,42.313455
-1.0,1,42.382553
-1.0,1,42.411041
-1.0,1,42.43607
-1.0,7,42.760796
-1.1,2,42.817515
-1.0,1,42.842638
-1.1,2,42.909307
-1.0,1,42.937707
-1.1,2,43.037204
-1.0,1,43.102546
-1.0,1,43.148772
-1.0,1,43.174181
-1.0,1,43.200548
-1.0,1,43.224532
