#{"t_start": 1747755752.6343083, "env_id": "None"}
r,l,t
-1.0,1,15.199467
-1.0,3,15.240977
-1.1,2,15.269028
-1.2,5,15.329914
-1.1,4,15.385521
-1.1,2,15.427191
-1.1,2,15.461065
-1.0,1,15.479035
-1.2,3,15.520263
-1.1,2,15.553541
-1.1,6,15.635308
-1.2,3,15.675999
-1.1,4,15.731013
-1.0,1,15.755435
-1.0,1,15.775136
-1.0,1,15.796926
-1.0,1,15.815563
-1.0,1,15.834315
-1.0,1,15.855056
-0.9,2,15.887883
-1.4,5,15.950158
-1.1,4,15.997647
-1.0,1,16.017316
-0.9,2,16.045856
-1.0,1,16.065683
-1.0,1,16.084359
-1.0,1,16.105518
-1.0,3,16.156024
-1.0,1,16.175387
-1.3,4,16.229186
-1.1,4,16.290994
-0.9,2,16.324328
-0.8,3,16.359384
-1.0,1,16.376505
-1.3,4,16.425438
-1.0,1,16.445137
-1.1,2,16.485725
-1.0,1,16.505602
-1.0,1,16.524835
-1.0,1,16.545322
-0.9,6,16.625777
-0.9,2,16.660584
-1.0,1,16.678484
-1.0,1,16.701184
-1.0,1,16.719626
-1.0,1,16.737395
-1.0,1,16.754366
-1.0,1,16.776594
-0.8,3,16.820163
-1.0,1,16.840686
-1.0,1,16.862764
-1.0,1,16.881627
-0.9,2,16.909712
-1.0,1,16.929563
-1.0,1,16.956151
-1.0,3,17.000412
-1.0,1,17.020058
-1.0,1,17.039804
-1.0,1,17.054912
-1.2,3,17.102203
-1.0,1,17.120563
1.3,6,17.197739
-1.0,1,17.21636
-0.9,2,17.246014
-1.0,1,17.265164
-1.0,3,17.320151
-1.0,1,17.342791
-1.0,1,17.359643
-1.0,1,17.380258
-1.1,2,17.409434
-1.0,3,17.45578
-1.0,3,17.500413
-1.1,2,17.525642
-0.9,2,17.554452
-1.1,2,17.585968
-1.0,1,17.605436
-0.9,2,17.636311
-1.1,2,17.6704
-1.1,2,17.700404
-1.0,1,17.721396
-0.9,2,17.754144
-1.0,1,17.771291
-1.1,4,17.834554
-1.0,3,17.876641
-1.0,1,17.900844
-0.9,2,17.930063
-1.0,3,17.980065
-1.0,1,18.003456
-1.0,1,18.024781
-1.0,1,18.048494
-0.9,2,18.081511
-1.1,2,18.115129
-1.0,1,18.134737
-1.0,1,18.156304
-1.0,1,18.174933
-0.9,2,18.200462
-1.0,1,18.219204
-1.0,1,18.24054
-1.0,1,18.26296
-1.1,2,18.290922
-1.1,2,18.320308
-0.9,2,18.349805
-1.0,1,18.363901
-0.8,5,18.431298
1.0,1,18.45195
-1.4,5,18.509776
-1.2,3,18.554617
-1.1,2,18.589352
-1.0,3,18.632408
-1.0,1,18.650603
-1.1,2,18.679834
-1.0,3,18.719482
-1.1,2,18.745345
-1.0,1,18.758688
-1.1,2,18.789691
-1.0,1,18.810564
-1.0,1,18.842764
1.2,3,18.885699
-1.0,1,18.904341
-1.0,1,18.92503
-1.0,1,18.944985
-1.0,1,18.960038
-0.9,2,18.995418
-1.0,1,19.020202
-1.0,1,19.040565
-1.1,2,19.076213
-1.0,1,19.094976
-1.0,1,19.118163
-1.0,1,19.136428
-1.0,1,19.15526
-1.1,2,19.190137
-1.0,1,19.210021
-1.0,1,19.233622
-1.1,2,19.264786
-1.0,1,19.286908
-1.0,1,19.306058
1.1,2,19.334735
-1.1,2,19.360381
-1.0,1,19.380637
-1.0,1,19.398592
-1.0,1,19.41996
-1.3,4,19.485376
-1.2,5,19.555453
-1.0,1,19.575094
-1.0,1,19.593666
-1.0,1,19.614109
-1.0,1,19.645925
-1.1,2,19.683767
-0.9,2,19.710171
-1.0,1,19.730405
-0.9,2,19.76149
-1.0,1,19.781125
-1.0,3,19.821843
-1.0,3,19.862953
-1.1,2,19.895782
-1.0,1,19.918321
-1.0,1,19.935772
