#{"t_start": 1747757643.075617, "env_id": "None"}
r,l,t
-0.9,2,14.390493
-1.1,2,14.420429
-0.9,4,14.472143
-0.9,2,14.499685
-1.0,3,14.545048
-1.1,2,14.574944
-1.0,1,14.589551
-1.0,1,14.610224
-1.0,1,14.628647
-1.0,1,14.644496
-1.0,1,14.665981
-1.1,2,14.694407
-1.0,1,14.708473
-1.0,1,14.726485
-1.0,1,14.74351
-1.0,1,14.760394
-1.0,1,14.780666
-0.9,2,14.809063
-0.9,2,14.834851
-1.0,1,14.854194
-1.0,3,14.894444
-1.1,2,14.919558
-1.1,2,14.945244
-1.0,1,14.962163
-1.0,1,14.984934
-1.0,1,15.010599
-1.1,2,15.039196
-1.0,1,15.052141
-1.0,1,15.071249
-1.0,1,15.090069
-1.0,1,15.107674
-1.0,1,15.126337
-1.0,1,15.145555
-1.0,1,15.1629
-1.0,1,15.181083
-1.0,3,15.218797
-1.0,1,15.236779
-0.9,2,15.271287
-1.1,2,15.302491
-1.0,1,15.324632
-1.0,1,15.340014
1.3,4,15.386192
-0.9,6,15.464401
-0.8,3,15.501041
-1.0,3,15.543509
-0.9,2,15.575477
-0.7,4,15.625797
-1.0,1,15.645051
-1.0,1,15.664723
-1.0,1,15.680868
-1.1,6,15.750045
-0.9,2,15.775707
-1.0,3,15.80924
-1.0,3,15.853089
-1.0,1,15.872238
-1.0,1,15.88918
-1.0,1,15.907642
-1.0,1,15.926416
-1.2,3,15.9645
-1.0,1,15.980042
-1.2,3,16.019014
-1.1,2,16.044461
-1.0,1,16.065372
-1.2,3,16.108844
-1.0,1,16.12653
-0.9,2,16.156618
-0.9,6,16.231232
-1.0,1,16.252499
-1.0,1,16.27144
-1.0,1,16.290046
-1.0,1,16.308671
-1.0,1,16.326849
-1.1,2,16.361761
-0.9,2,16.390568
-1.0,1,16.41711
-1.1,4,16.464858
-0.9,4,16.509443
-1.0,1,16.524637
-1.2,5,16.590381
-0.9,2,16.619515
-1.0,3,16.652518
-1.1,2,16.680099
-1.0,1,16.699804
-1.1,2,16.730258
-1.1,2,16.754199
-1.1,2,16.779866
-1.0,1,16.800339
-0.9,2,16.83032
-1.0,1,16.852628
-1.0,1,16.870975
-1.0,1,16.89159
-1.1,2,16.925592
-1.1,2,16.954358
-1.0,1,16.979146
-1.0,1,17.000597
-0.9,2,17.03555
-1.1,4,17.090273
-1.0,1,17.113963
-0.9,4,17.160326
-1.0,1,17.179721
-1.0,1,17.199665
-1.1,2,17.234448
-1.0,1,17.258719
-0.8,3,17.305313
-1.0,1,17.325236
-1.0,1,17.339827
-1.0,1,17.354635
-1.0,3,17.39035
-1.1,2,17.415423
-1.0,1,17.43416
-1.0,1,17.447751
-1.1,4,17.494758
-1.0,1,17.515335
-1.1,2,17.541129
1.0,1,17.560301
-1.0,1,17.579982
-1.2,3,17.628677
-1.0,1,17.647413
-1.0,1,17.665545
-1.1,2,17.695416
-1.0,1,17.723575
-1.0,1,17.741506
-1.1,2,17.775314
-1.1,2,17.810276
-1.0,5,17.874876
-1.0,1,17.891633
-1.0,1,17.911313
1.0,1,17.930823
-1.0,1,17.955704
-1.0,1,17.981916
-1.0,1,18.001144
-1.0,1,18.045788
-1.1,2,18.09428
-1.0,1,18.129165
1.0,1,18.164503
-1.1,4,18.247372
-1.2,3,18.298404
-0.8,3,18.35491
-1.0,1,18.378033
-1.1,2,18.420707
-1.0,1,18.45099
-1.0,1,18.476211
-1.0,1,18.504929
-1.0,1,18.532703
-1.1,2,18.573014
-1.0,1,18.607309
-1.1,2,18.651754
-1.2,3,18.723974
-1.0,1,18.753286
-1.0,1,18.77753
-1.0,1,18.801207
-1.1,2,18.841171
-1.0,1,18.868397
-0.8,3,18.922966
-1.0,3,18.983584
-1.0,1,19.005802
-1.1,4,19.081762
-1.2,3,19.135401
-1.0,1,19.153072
-1.0,1,19.173751
-1.0,1,19.197617
-1.0,1,19.229252
-1.1,2,19.259794
-1.0,1,19.284492
-1.0,1,19.302607
-1.0,1,19.327415
-1.2,3,19.397658
-1.0,1,19.421905
-1.0,3,19.482161
-1.1,2,19.526589
-1.1,2,19.566563
-1.0,5,19.673057
-0.9,2,19.717018
-1.0,3,19.772625
-1.0,1,19.796345
-1.1,2,19.842963
-1.0,3,19.891812
-0.9,2,19.925597
-0.9,2,19.959879
-1.0,1,19.974484
-1.0,1,19.993943
-1.0,3,20.028749
-1.1,2,20.054501
-1.0,1,20.070678
-1.0,3,20.115539
-1.1,2,20.140661
-0.9,2,20.174397
-1.0,1,20.189969
-1.0,1,20.211263
-1.0,1,20.225343
-1.1,2,20.261678
-0.9,4,20.309489
-1.1,2,20.343751
-1.0,1,20.363713
-0.9,2,20.391402
-1.1,2,20.420771
-1.0,1,20.440372
-1.1,2,20.474731
-1.0,1,20.489836
-1.0,1,20.509943
-1.1,2,20.540806
-1.0,1,20.5549
-1.0,1,20.575126
-0.9,2,20.599819
-1.2,3,20.645324
-1.0,1,20.668536
-1.1,2,20.69985
-1.0,1,20.715083
-1.0,1,20.735315
-1.0,1,20.753935
-1.0,1,20.770236
-1.0,1,20.79042
-1.0,1,20.807498
-0.8,3,20.845075
-0.9,2,20.874699
-0.9,2,20.899877
-1.1,2,20.930242
-1.0,1,20.945948
-1.0,1,20.966356
-1.0,1,20.986018
-1.1,4,21.052925
-0.9,4,21.101263
-1.0,1,21.125664
-1.0,1,21.145376
-1.0,3,21.180029
-1.0,1,21.201274
-1.0,1,21.224316
-0.9,2,21.26006
-1.1,2,21.290858
-1.0,1,21.314522
-1.0,1,21.340557
-1.0,1,21.360045
-1.0,1,21.379862
-1.2,5,21.45944
-1.0,1,21.479707
-1.1,2,21.505393
-1.0,1,21.525079
-1.0,1,21.541098
-1.1,2,21.570509
-0.9,4,21.626691
-1.1,2,21.66008
-1.1,8,21.754648
-1.0,1,21.770259
-0.8,5,21.82687
-1.0,1,21.847804
-1.0,1,21.864605
-1.0,1,21.8931
-1.0,1,21.915066
-1.0,1,21.935329
-1.0,5,22.005319
-1.2,5,22.071522
-1.0,1,22.090171
-1.1,2,22.124957
-1.1,2,22.154906
-1.0,1,22.17524
-1.0,1,22.1954
-1.0,1,22.214554
-0.8,3,22.26039
-0.9,2,22.290936
-1.0,1,22.304507
-1.0,1,22.321031
-1.0,1,22.34085
-1.1,2,22.370629
-0.9,2,22.403813
-1.0,1,22.423543
-1.0,1,22.443133
-0.9,2,22.47032
-1.1,4,22.52508
-0.7,4,22.58502
-1.0,1,22.61142
-1.3,4,22.659121
-1.0,3,22.694512
-1.1,2,22.721534
-1.0,1,22.737226
1.0,1,22.7558
-1.0,1,22.774727
-1.0,1,22.795858
-0.9,2,22.827928
1.1,2,22.856088
-1.0,1,22.873892
-1.0,1,22.890986
-0.9,2,22.920759
-1.0,1,22.937143
-1.0,1,22.956012
-1.0,1,22.97633
-1.0,1,22.998838
-1.0,1,23.016306
-1.0,1,23.0344
-0.9,2,23.065073
-1.1,2,23.095819
-1.0,1,23.114955
-1.0,1,23.130037
-1.0,1,23.144705
-1.0,1,23.160328
-0.8,3,23.20575
-0.9,2,23.229944
-1.0,1,23.25126
-1.0,1,23.271376
-0.9,2,23.300853
-1.0,1,23.32112
-1.0,1,23.338907
-1.0,1,23.356655
-1.0,1,23.375566
-1.0,3,23.42013
-1.0,1,23.443963
-1.3,4,23.503041
-1.0,1,23.52034
-1.0,1,23.53589
-0.9,2,23.565059
-1.0,1,23.578437
-1.1,2,23.616465
-1.0,1,23.635099
-1.0,1,23.653488
-1.2,5,23.715214
-1.0,1,23.735415
-1.0,1,23.754824
-1.0,1,23.775303
-1.0,1,23.795124
-1.0,1,23.819927
-1.0,1,23.836281
-1.0,1,23.855442
-1.1,2,23.880378
-1.1,2,23.912652
-1.1,2,23.940818
-1.0,1,23.959542
-1.0,1,23.980388
-1.0,1,23.999529
-1.0,1,24.02523
-1.0,1,24.04534
-1.0,1,24.058421
-1.0,1,24.077292
-1.0,1,24.093977
-1.0,3,24.136473
-1.1,2,24.168352
-1.0,1,24.185741
-1.1,2,24.214934
-1.0,3,24.258907
-1.1,6,24.325232
-1.2,9,24.436837
-0.9,2,24.469656
-1.0,1,24.485828
-1.0,1,24.505363
-1.0,1,24.525262
-1.0,1,24.541017
-0.8,5,24.60931
-1.1,2,24.635113
-0.8,5,24.694971
-0.9,2,24.725514
-1.0,3,24.765737
-1.0,1,24.789357
-1.1,4,24.839982
-1.0,1,24.85367
-1.0,1,24.870381
-1.0,1,24.895223
-1.5,6,24.960405
-1.0,1,24.988844
-0.8,3,25.028159
-1.0,1,25.047607
-0.9,2,25.074994
-0.9,4,25.124762
-1.1,2,25.15606
-1.2,3,25.19999
-1.1,2,25.228443
-1.0,1,25.246145
-1.1,2,25.274329
-1.2,3,25.314781
-1.0,3,25.354864
-1.0,3,25.399973
-1.0,1,25.420115
-1.1,2,25.453088
-1.0,1,25.470747
-0.9,2,25.499743
1.0,1,25.521982
-1.0,5,25.585166
-1.0,1,25.61104
-1.0,1,25.62387
-1.0,1,25.6443
-1.0,1,25.666443
-1.0,1,25.684584
-1.0,1,25.699886
-1.1,2,25.735427
-1.0,5,25.804361
-1.1,2,25.835021
-1.1,2,25.865377
-1.0,1,25.88563
-1.0,1,25.907239
-1.1,2,25.935397
-1.1,2,25.967584
-1.0,1,25.986847
-0.8,3,26.023263
-1.0,1,26.039798
-1.0,1,26.063648
-1.2,5,26.126655
-0.9,2,26.156003
-1.1,2,26.185967
-1.1,2,26.214535
-1.0,1,26.235791
-1.1,2,26.270039
-1.0,1,26.284662
-1.0,1,26.305972
-1.0,1,26.325734
-1.0,1,26.340846
-1.1,2,26.375478
-1.0,1,26.394428
-1.1,2,26.422284
-0.9,2,26.449142
-0.8,3,26.490283
-1.2,3,26.535478
-1.0,1,26.556025
-1.0,1,26.579181
-1.1,2,26.605106
-1.1,2,26.636922
-1.0,1,26.650547
-1.1,2,26.680076
-1.2,3,26.714585
-1.1,2,26.745697
-1.0,1,26.769415
-1.0,1,26.78568
-1.0,1,26.805449
-1.1,2,26.839979
-1.2,3,26.882408
-1.1,2,26.910416
-1.2,3,26.949269
-0.9,2,26.978673
-1.0,1,26.994428
-1.0,1,27.015853
-1.0,1,27.040703
-1.0,1,27.054861
-1.0,1,27.074571
-1.0,1,27.096255
-1.0,1,27.115454
-0.9,2,27.145926
-1.1,2,27.174392
-0.9,2,27.205336
-1.1,2,27.229778
-1.1,2,27.255318
-0.6,5,27.320114
-1.0,1,27.340099
-1.0,1,27.355236
-1.0,1,27.376111
-1.0,1,27.395844
-0.9,2,27.425471
-1.0,1,27.444633
-1.0,1,27.461271
-1.0,1,27.479842
-0.9,2,27.510887
-1.0,1,27.528685
-1.1,2,27.554582
-1.0,1,27.575145
-1.0,1,27.590873
-1.0,1,27.610325
-1.0,1,27.635706
-1.0,1,27.652827
-1.0,1,27.680453
-1.0,3,27.726699
-0.8,3,27.769469
-1.0,1,27.784688
-1.1,2,27.815654
-1.1,4,27.870018
-1.0,1,27.889717
-1.0,1,27.904426
-1.0,1,27.924604
-1.0,1,27.945415
-0.9,4,28.004841
-1.1,4,28.054943
-1.0,1,28.069813
-1.2,3,28.105216
-1.0,1,28.119922
-1.1,2,28.149748
-0.8,3,28.191447
1.0,1,28.211793
-1.0,1,28.229464
-1.0,1,28.246837
-0.9,2,28.27526
-1.0,3,28.318088
-1.0,1,28.337327
-1.0,5,28.397478
-1.0,1,28.41556
-1.0,1,28.434913
