#{"t_start": 1747666913.5218923, "env_id": "None"}
r,l,t
-1.0,3,15.219191
-1.0,1,15.238648
-1.0,1,15.258017
-1.0,1,15.271824
-1.2,3,15.311889
-1.0,1,15.331035
-1.0,1,15.347557
-1.0,1,15.367385
-1.0,1,15.387086
-0.9,2,15.417751
-1.1,2,15.452732
-1.1,2,15.481774
-1.1,2,15.513061
-0.7,6,15.592117
-1.1,2,15.617104
-1.0,1,15.633294
-1.0,1,15.65237
-0.9,2,15.678715
-1.0,1,15.695943
-0.9,2,15.722282
-1.0,1,15.737108
-1.0,1,15.758312
-1.0,3,15.797929
-0.8,5,15.857598
-1.0,1,15.877873
-1.2,3,15.91152
-1.1,2,15.946218
-1.0,1,15.966568
-0.8,3,16.006723
-1.1,2,16.031857
-1.1,2,16.062307
-1.0,1,16.082358
-0.8,3,16.123669
-1.1,4,16.176768
-1.0,1,16.198621
1.0,1,16.217771
-1.1,2,16.246802
-1.0,1,16.266029
-1.0,1,16.282422
-0.9,2,16.313341
-0.9,2,16.347569
-0.9,2,16.377039
-1.0,1,16.39788
-0.9,2,16.432647
-1.1,2,16.463016
-1.0,1,16.482395
-1.1,4,16.532334
-1.0,1,16.55279
-0.9,4,16.606352
-1.0,1,16.628909
-1.0,1,16.648422
-1.0,1,16.667823
-0.9,2,16.697978
-1.0,1,16.716897
-1.1,2,16.741549
-1.0,1,16.763193
-0.8,3,16.80208
-1.0,1,16.821895
-1.0,3,16.867488
-1.0,1,16.8817
-1.0,1,16.897356
1.1,2,16.928096
-1.2,3,16.966361
-1.0,1,16.988318
-1.0,1,17.007795
-0.9,4,17.057347
-1.1,2,17.086432
-1.0,1,17.102213
-1.0,1,17.118591
-1.0,1,17.139869
-0.9,2,17.166951
-0.8,3,17.207564
-1.0,1,17.228802
-1.3,6,17.313383
-1.0,1,17.333695
-0.9,2,17.372297
-1.0,1,17.39301
-1.0,1,17.411437
-1.1,6,17.502698
-1.0,1,17.523144
-1.0,5,17.592637
-1.0,1,17.612835
-0.9,2,17.648055
-1.1,2,17.67698
-1.0,1,17.699777
-1.0,1,17.723253
-1.1,2,17.750904
-1.2,5,17.813157
-1.0,1,17.833368
-0.9,2,17.863296
-0.9,2,17.900132
-1.0,1,17.91898
-0.9,2,17.959897
-1.0,1,17.979341
-0.9,2,18.013108
-1.1,4,18.072523
-0.9,2,18.10245
-0.8,3,18.147449
-1.0,1,18.17304
-1.0,1,18.193187
-1.2,3,18.228496
-1.0,1,18.246764
-1.0,3,18.281836
-1.0,1,18.29882
-1.0,1,18.321038
-1.0,1,18.341435
-1.0,1,18.357371
-1.0,1,18.372473
-1.0,1,18.390871
-1.0,1,18.406391
-1.0,1,18.422645
-1.2,5,18.476202
-1.0,1,18.493257
-1.0,1,18.512497
-1.0,3,18.551615
-1.0,1,18.571795
-1.1,2,18.603337
-1.0,1,18.617424
-1.1,2,18.647674
-0.9,2,18.677351
-1.1,2,18.707277
-1.0,1,18.727893
-1.1,4,18.787056
-0.9,2,18.828602
-0.9,2,18.858007
-0.8,3,18.914598
-1.0,3,18.963265
-0.9,2,18.997421
-0.9,4,19.066776
-0.9,2,19.096037
-1.0,1,19.1218
-1.0,1,19.143146
-1.0,1,19.172085
-1.0,1,19.192721
-1.1,2,19.227634
-1.0,1,19.248871
-1.1,2,19.287169
-1.0,1,19.307811
-1.0,1,19.327932
-0.9,4,19.393229
-1.1,2,19.427441
-1.0,1,19.44909
-1.0,1,19.472728
-1.0,1,19.497905
-1.0,1,19.523555
-1.1,2,19.558392
-1.0,1,19.57754
-1.0,3,19.624868
-1.0,3,19.678651
-1.0,1,19.698822
-1.0,1,19.719487
-1.0,1,19.742645
-1.1,2,19.779382
-1.0,1,19.798472
-1.0,1,19.818134
-1.0,1,19.837788
1.0,1,19.862477
-1.0,1,19.887672
-1.0,1,19.907763
-1.1,4,19.972232
-1.1,4,20.037562
-1.0,1,20.062276
-1.0,3,20.117649
-0.9,2,20.152354
-1.0,1,20.188804
-1.0,1,20.213006
-1.0,1,20.232714
-1.0,1,20.257905
-1.0,1,20.278534
-0.9,2,20.318843
-1.0,1,20.344542
-0.9,4,20.408478
-1.1,2,20.443774
-1.0,1,20.46442
1.1,2,20.499281
-0.9,2,20.532439
-1.1,2,20.570764
-1.0,1,20.588365
-1.0,1,20.609995
-1.0,1,20.633153
-1.2,5,20.716888
-1.0,5,20.792946
-1.0,1,20.81408
-1.0,1,20.837246
-1.0,1,20.857937
-1.0,1,20.879592
-0.9,2,20.91732
-1.0,1,20.939423
-1.1,2,20.974683
-1.0,1,20.993304
-1.1,2,21.028048
-1.0,1,21.04876
-1.0,1,21.070914
-1.0,1,21.088114
-1.0,1,21.108236
-1.0,1,21.128367
-1.0,3,21.178167
-1.0,1,21.208356
-0.9,2,21.243155
-1.0,1,21.263841
-1.0,1,21.289486
-1.0,1,21.313733
-0.9,2,21.348535
-1.0,1,21.366735
-1.0,1,21.393881
-1.0,1,21.418964
-1.0,1,21.442641
-1.1,2,21.477889
-1.0,3,21.534314
-1.0,1,21.557541
-0.9,2,21.599368
-1.1,2,21.637636
-1.0,1,21.666322
-1.0,1,21.691982
-1.1,2,21.732739
-1.1,2,21.775077
-1.0,1,21.793671
-1.1,2,21.827163
-1.0,1,21.843751
-1.0,1,21.862361
-1.0,1,21.884444
-1.0,1,21.902521
-1.0,1,21.922597
-1.2,3,21.966552
-1.4,5,22.03713
-1.0,1,22.064827
-1.0,1,22.083651
-1.1,2,22.122644
-1.1,2,22.152929
-1.0,3,22.197199
-1.0,1,22.222483
-1.0,1,22.242555
-1.0,1,22.363902
-1.1,4,22.421848
-1.0,1,22.441469
-1.1,2,22.473243
-1.0,1,22.491342
-1.0,1,22.511414
-1.1,2,22.538137
-1.0,1,22.556572
-1.0,1,22.572668
-1.1,2,22.602327
-1.0,1,22.621978
-1.0,1,22.641265
-1.0,1,22.656363
-1.0,1,22.67195
-0.8,3,22.716954
-0.9,2,22.747554
-1.0,1,22.768366
-1.0,1,22.787588
-0.9,2,22.828099
-1.0,1,22.846389
-1.0,1,22.866525
-1.0,1,22.88673
-1.0,1,22.903808
-1.0,1,22.922084
-1.0,3,22.966632
-1.0,1,22.986925
-1.1,2,23.017931
-1.1,2,23.047047
-1.0,1,23.067465
-1.0,5,23.127928
-1.0,3,23.172157
-0.9,2,23.202928
-1.0,1,23.227128
-1.0,3,23.27732
-1.0,3,23.322773
-1.0,1,23.342733
-1.0,1,23.362332
-1.1,4,23.411689
-1.2,3,23.456106
-1.1,2,23.481644
-0.9,2,23.511953
-1.1,2,23.546694
-1.0,3,23.582262
-1.0,1,23.597166
-1.2,3,23.642334
-1.0,1,23.662926
-1.0,1,23.678151
-1.0,1,23.696725
-1.0,1,23.712341
-1.1,2,23.742081
-1.0,1,23.761626
-1.0,3,23.80712
-1.4,5,23.875484
-1.0,1,23.898198
-1.0,1,23.919483
-1.0,1,23.943374
-1.0,1,23.961641
-1.3,10,24.088099
-1.0,1,24.10832
-1.2,3,24.147012
-1.1,2,24.177369
-0.9,2,24.206184
-1.0,3,24.247301
-1.0,1,24.263456
-0.9,2,24.297077
-1.0,1,24.317316
-1.1,2,24.346959
-1.0,1,24.368013
-1.0,1,24.386739
-1.0,1,24.411964
-1.0,1,24.432882
-1.3,4,24.481519
-1.1,4,24.532105
-0.9,2,24.561685
-1.0,1,24.583158
-1.0,1,24.596859
-1.0,3,24.641844
-1.1,2,24.672459
-1.1,2,24.698421
-1.0,1,24.71834
-1.0,1,24.737427
-0.9,2,24.761647
-0.9,2,24.796514
-0.9,2,24.821058
1.0,3,24.856971
-1.2,3,24.900787
-1.0,1,24.91735
-1.1,2,24.946897
-1.0,1,24.97039
-1.0,1,24.991742
-1.0,3,25.032893
-0.9,2,25.061954
-1.0,1,25.082726
-0.9,2,25.111644
-1.0,1,25.133466
-1.1,2,25.163239
-1.0,1,25.191029
-1.0,1,25.206787
-1.1,8,25.30852
-1.0,7,25.395805
-0.9,2,25.428219
-1.0,1,25.446327
-1.2,3,25.48618
-1.0,1,25.502411
-1.0,1,25.523498
-1.0,1,25.542952
-1.1,8,25.652301
-1.2,3,25.692886
-1.0,1,25.708083
1.0,1,25.7277
-1.1,2,25.759233
-1.1,2,25.786436
-0.8,3,25.827823
-1.0,1,25.842049
-0.9,2,25.872785
-0.9,2,25.902879
-1.0,1,25.922014
-1.1,2,25.951808
-1.0,1,25.973303
-1.0,1,25.992448
-1.0,1,26.013639
-1.1,2,26.043482
-1.1,2,26.072435
-0.9,2,26.107856
-1.0,1,26.127956
-1.0,1,26.148592
1.0,1,26.167267
-1.1,2,26.201174
-1.0,1,26.221373
-1.0,1,26.237385
-1.0,1,26.257591
-1.0,1,26.282875
-1.0,3,26.333326
-0.9,2,26.360941
-1.0,1,26.377047
-1.0,1,26.396294
-1.1,2,26.423626
-1.0,1,26.445752
-1.0,1,26.468
-0.9,2,26.496316
-1.0,1,26.522592
-1.0,1,26.541334
-1.0,1,26.56233
-1.0,1,26.583658
-0.9,4,26.637501
-1.0,1,26.65331
-1.2,3,26.696981
-0.9,2,26.727507
-0.9,2,26.752195
1.1,2,26.782365
-0.9,6,26.862227
-1.0,1,26.882341
-1.0,1,26.904346
-1.2,3,26.947701
-1.0,1,26.964373
-0.8,3,27.006973
-1.0,1,27.028464
-1.0,1,27.052
-1.0,1,27.071393
-1.0,1,27.093656
-1.0,1,27.112102
-0.7,4,27.167378
-1.0,3,27.206342
-1.0,1,27.22744
-1.0,1,27.243011
-1.0,1,27.257258
-1.0,1,27.278377
-1.0,1,27.298113
-0.9,2,27.332889
-1.0,1,27.352714
-1.1,2,27.382945
-1.0,1,27.402871
-1.1,4,27.456297
-1.0,1,27.477327
-1.0,3,27.517549
-1.0,1,27.532126
-1.0,1,27.552047
-0.9,4,27.603323
-1.0,1,27.62343
-1.0,1,27.642035
-1.0,1,27.663214
-1.1,2,27.70203
-1.2,3,27.746627
1.0,1,27.76249
-0.9,2,27.792676
-1.1,2,27.822327
-1.1,4,27.872905
-1.2,3,27.912751
-1.0,1,27.942196
-1.0,1,27.962572
-0.9,2,27.992787
-1.0,1,28.017063
-1.0,5,28.0776
1.0,1,28.097709
-1.1,2,28.123073
-0.8,3,28.168806
-1.2,3,28.213249
-1.1,2,28.241457
-1.0,3,28.277216
-1.2,5,28.341984
-1.1,4,28.401641
-1.0,1,28.417753
-1.0,1,28.436504
-1.0,1,28.45298
-0.9,2,28.482712
-1.0,1,28.502799
-1.0,1,28.516378
-1.0,1,28.537539
-0.9,2,28.566743
-1.0,1,28.581472
-1.1,2,28.60717
-0.9,2,28.637215
-1.0,1,28.657709
-1.0,1,28.676817
-0.9,2,28.707727
-1.1,2,28.743326
-0.9,2,28.771315
-0.9,2,28.801758
-1.0,1,28.817293
-1.1,2,28.849248
-1.0,1,28.867463
-1.0,3,28.907353
-1.1,8,29.001103
-1.1,4,29.045982
-1.0,1,29.066849
-1.2,3,29.107552
-1.0,1,29.126397
-1.1,2,29.151808
-1.0,3,29.192957
-1.1,4,29.246072
-1.0,1,29.268689
-1.0,1,29.286775
1.1,4,29.336805
-1.0,1,29.356514
-1.0,3,29.397345
-1.0,1,29.418443
-0.9,2,29.446734
-1.0,1,29.467836
-1.1,2,29.492456
-1.2,5,29.561852
-1.0,1,29.57711
-0.9,2,29.606163
-1.2,3,29.64724
-1.2,3,29.681387
-1.0,1,29.697711
-1.0,1,29.717307
-1.0,1,29.736727
-1.0,1,29.752372
-1.0,1,29.771013
-1.0,1,29.78678
-1.0,1,29.810048
-0.9,2,29.841653
-1.0,1,29.862218
-0.9,2,29.887331
-1.0,1,29.90679
-1.0,1,29.925917
-1.0,1,29.942818
-1.0,1,29.961389
-1.0,1,29.982491
-1.4,9,30.08284
-0.9,2,30.112725
-1.0,1,30.137481
-1.1,2,30.168126
-1.0,1,30.187231
-1.0,1,30.207144
-1.0,3,30.248019
-1.2,3,30.287582
-1.0,1,30.307557
-1.0,1,30.321908
-1.1,4,30.377429
-1.0,1,30.396206
-0.9,2,30.428381
-1.0,1,30.447544
-1.0,1,30.463558
-1.0,1,30.482304
-1.1,4,30.538306
-1.0,1,30.556888
-1.0,1,30.57735
-1.0,1,30.597904
-1.0,1,30.617127
-1.0,1,30.636511
-1.1,4,30.687971
-1.0,1,30.706425
-1.0,3,30.755269
-1.0,1,30.771274
-1.0,1,30.787488
-1.0,1,30.80786
-1.0,1,30.826443
-1.0,1,30.84416
-1.0,1,30.861416
-1.0,1,30.877773
-1.1,4,30.926769
