#{"t_start": 1747756559.9349813, "env_id": "None"}
r,l,t
-1.0,1,15.237117
-1.3,6,15.322135
-1.0,1,15.351501
-1.0,1,15.371168
-1.0,1,15.393378
-1.0,1,15.423736
-1.0,1,15.442544
-0.9,2,15.478403
-1.0,1,15.503023
-0.9,2,15.532352
-1.0,1,15.552774
-1.1,4,15.613159
-1.0,1,15.632818
-1.0,1,15.652493
-1.0,1,15.678385
-1.0,1,15.692014
-1.0,1,15.70927
-1.0,1,15.734036
-1.1,2,15.761512
-1.0,1,15.777745
-1.0,1,15.796749
-1.1,2,15.821825
-1.1,2,15.848021
-1.1,2,15.878065
-0.9,2,15.912446
-1.0,1,15.931387
-1.0,1,15.957071
-1.1,2,15.991665
-1.0,1,16.011271
-1.0,1,16.029393
-1.0,1,16.048021
-0.9,2,16.078799
-0.9,2,16.10813
-1.0,1,16.132425
-1.0,1,16.156319
-1.0,1,16.177601
-1.0,3,16.214237
-1.1,2,16.242231
-1.0,1,16.262934
-1.1,2,16.296596
-1.0,1,16.31809
-1.0,1,16.338418
-0.8,5,16.392997
-1.0,1,16.408318
-1.0,1,16.42742
-0.7,4,16.482832
-0.8,3,16.522234
-1.0,1,16.537604
-1.1,6,16.618195
-1.0,1,16.636022
-0.9,2,16.666955
-0.9,2,16.702222
-1.1,2,16.729464
-1.0,1,16.746547
-1.4,5,16.80338
-1.1,2,16.834651
-1.0,1,16.852728
-1.0,1,16.872003
-1.0,1,16.893215
-0.9,4,16.947723
-1.0,1,16.966966
-1.1,2,17.001811
-1.0,1,17.016139
-0.9,4,17.067195
-0.9,2,17.103182
-1.0,1,17.125745
-1.0,1,17.144626
-1.0,1,17.163729
-1.0,1,17.181821
-1.0,3,17.227395
-1.0,1,17.247873
-0.9,2,17.272773
-1.0,1,17.292361
-1.0,1,17.312496
-0.9,2,17.344922
-0.9,2,17.372045
-1.0,1,17.391739
-1.0,1,17.406115
-1.1,2,17.434934
-1.0,1,17.454882
-1.0,1,17.470352
-1.0,1,17.490548
-1.3,4,17.536471
-1.0,1,17.558745
-1.0,1,17.58076
-1.0,1,17.599781
-1.0,1,17.617317
-1.0,1,17.635471
-1.1,2,17.666665
-1.0,1,17.68169
-1.0,1,17.69911
-0.9,2,17.727815
-1.0,1,17.745574
-1.0,3,17.783273
-0.9,2,17.813942
-1.1,2,17.847932
-1.0,1,17.867151
-1.0,3,17.901665
-1.0,1,17.916247
-1.0,1,17.937137
-1.0,3,17.97643
-1.0,1,17.997663
-0.9,2,18.03501
-0.9,2,18.062743
-1.0,1,18.08183
-1.2,5,18.136238
-1.1,2,18.16166
-1.0,3,18.198045
-0.9,6,18.266766
-1.1,2,18.29553
-1.0,1,18.314355
-0.9,4,18.361897
-1.0,1,18.387776
-1.0,3,18.427398
-1.0,1,18.441007
-1.0,1,18.460241
-1.0,3,18.497091
-1.0,1,18.520833
-1.0,1,18.539416
-1.0,1,18.557329
-1.3,8,18.652151
-1.0,1,18.666522
-0.9,2,18.698734
-1.1,2,18.732211
-1.0,1,18.748482
-1.0,1,18.767683
-1.0,1,18.787369
-1.0,1,18.812033
-1.0,1,18.829247
-1.1,2,18.856694
-1.0,1,18.877174
-0.9,2,18.898369
-1.0,1,18.917313
-0.9,2,18.947215
-1.2,5,19.004814
-1.0,1,19.023574
-1.1,2,19.052408
-1.0,1,19.072897
-0.8,3,19.110986
-1.0,1,19.133337
-1.1,2,19.161478
-1.0,1,19.176575
-1.1,2,19.204381
-0.7,4,19.252748
-1.3,4,19.315256
-1.0,1,19.333422
-1.0,1,19.359543
-1.0,1,19.38307
-1.0,1,19.406921
-1.0,1,19.423808
-1.1,2,19.460639
-1.0,1,19.483059
-1.1,2,19.520866
-1.0,1,19.541947
-0.9,2,19.57747
-1.0,1,19.597963
-1.0,1,19.623719
-1.0,3,19.666558
-0.9,2,19.695294
-1.0,1,19.726062
-1.0,3,19.781235
-0.9,2,19.813504
-1.0,1,19.833743
-1.2,5,19.918172
-0.9,2,19.95461
-1.0,1,19.974815
-1.1,2,20.010202
-1.0,1,20.035014
-0.9,2,20.081647
-1.0,1,20.109467
-1.1,2,20.145901
-1.0,1,20.166148
-1.0,1,20.186807
-0.8,3,20.254529
-1.0,1,20.27798
-1.0,1,20.306745
-1.1,4,20.377005
-1.1,2,20.413372
-1.1,2,20.456805
-1.0,1,20.480769
-1.1,2,20.511603
-1.3,4,20.570702
-0.9,2,20.614165
-1.0,1,20.639928
-1.0,3,20.694318
-1.0,1,20.722788
-1.0,1,20.740456
-1.0,1,20.762675
-1.1,2,20.802553
-1.0,1,20.833429
-1.0,1,20.856693
-1.0,1,20.873473
1.1,2,20.904103
-1.0,1,20.925811
-1.0,3,20.979573
-1.0,1,20.997253
-1.0,1,21.025177
-1.0,1,21.042832
-1.1,2,21.087838
-1.1,2,21.127347
-1.0,1,21.149026
-1.1,2,21.1895
-1.0,1,21.213313
-1.1,2,21.247864
-0.8,3,21.287618
-1.1,2,21.323899
-1.0,3,21.367843
-1.0,1,21.388509
-1.0,1,21.409326
-0.9,4,21.463915
-1.0,1,21.483703
-1.0,1,21.503842
-1.0,1,21.528574
-1.0,1,21.554843
-1.0,1,21.576024
-0.9,2,21.607834
-0.9,2,21.64975
-0.9,2,21.693514
-1.0,3,21.750096
-1.0,3,21.804442
-1.1,2,21.839289
-1.0,1,21.858815
-0.8,5,21.922543
-1.0,1,21.946278
-1.1,2,21.973287
-1.1,2,22.005971
-1.0,1,22.024752
-1.1,4,22.079526
-1.0,1,22.097628
-1.1,2,22.133195
-1.1,2,22.168661
