#{"t_start": 1747756765.8528306, "env_id": "None"}
r,l,t
-1.1,2,13.477295
-1.0,1,13.500336
-0.8,5,13.579646
-1.1,6,13.661366
-1.1,2,13.694951
-1.0,1,13.714752
-0.9,2,13.744664
-1.1,2,13.785057
-1.0,1,13.798786
-1.1,2,13.828955
-1.0,5,13.894727
-0.9,2,13.924239
-0.9,2,13.954217
-1.0,3,13.98928
-1.0,1,14.01114
-1.0,1,14.032467
-0.8,3,14.068306
-0.9,2,14.098577
-1.0,1,14.114179
-1.0,1,14.133623
-1.0,1,14.153551
-1.0,1,14.177323
-1.0,1,14.196856
-0.9,2,14.224235
-1.0,1,14.244984
-1.0,1,14.263539
-1.0,1,14.279366
-1.0,3,14.318936
-0.7,4,14.368298
-1.1,2,14.398849
-1.2,3,14.443293
-1.2,5,14.498287
-0.8,3,14.535344
-1.3,4,14.584413
-1.0,3,14.618057
-1.1,2,14.647948
-1.1,2,14.679737
-1.0,1,14.694466
-1.0,1,14.715106
-1.0,1,14.734743
-1.0,1,14.753375
-1.0,1,14.77833
-1.1,2,14.814225
-1.0,1,14.831954
-0.9,2,14.8589
-1.1,2,14.88468
-1.1,2,14.919714
-1.3,4,14.968413
-1.0,1,14.985172
-0.9,2,15.018742
-1.0,1,15.040659
-1.0,1,15.057392
-1.1,2,15.09925
-1.1,2,15.142174
-1.0,1,15.156793
-1.0,1,15.175859
-1.1,2,15.209669
-1.0,1,15.229397
-1.0,1,15.247817
-1.0,1,15.265074
-1.0,5,15.3234
-1.1,2,15.349025
-1.3,4,15.413626
-1.1,2,15.4474
-1.0,1,15.471076
-1.0,1,15.49406
-1.0,1,15.511425
-1.1,2,15.537896
-1.0,1,15.56015
-1.0,5,15.623409
-1.0,3,15.675409
-1.0,1,15.694854
-0.9,4,15.75433
-1.0,1,15.770652
-1.0,1,15.789756
-1.0,1,15.808446
-1.0,3,15.845044
-1.0,1,15.864922
-1.0,1,15.884222
-1.0,1,15.903517
-1.0,1,15.92963
-1.0,1,15.949733
-1.0,1,15.96944
-1.0,1,15.989746
-1.1,2,16.018781
-1.0,3,16.058781
-0.9,2,16.082266
-0.8,3,16.125432
-1.0,1,16.145089
-1.0,1,16.165869
-1.0,1,16.183724
-1.0,1,16.203025
-1.0,1,16.220991
-1.2,5,16.294381
-0.8,3,16.340451
-0.7,6,16.419315
-1.0,1,16.438651
-0.8,3,16.482252
-1.1,2,16.522414
-1.0,1,16.541093
-1.0,1,16.559647
-0.8,3,16.599261
-0.6,7,16.674142
-1.0,1,16.698205
-1.0,1,16.718075
-0.8,3,16.769279
-1.0,1,16.790106
-1.0,3,16.839573
-0.9,2,16.878825
-1.1,2,16.912711
-1.0,3,16.95047
-1.0,3,16.990845
-0.9,2,17.025465
-1.0,3,17.063414
-1.1,2,17.089633
-0.9,4,17.143394
-1.0,1,17.164784
-1.0,1,17.188921
-1.0,3,17.231449
-0.9,2,17.258372
-1.0,1,17.274488
-1.0,1,17.294797
-0.9,2,17.324022
-1.0,1,17.341196
-1.0,1,17.359749
-1.0,1,17.376027
-1.0,1,17.396678
-0.7,4,17.44425
-1.0,1,17.46047
-1.0,1,17.479637
-1.0,1,17.498811
-0.9,2,17.522931
-1.0,1,17.54816
-1.0,1,17.576037
-1.1,2,17.60893
-1.1,2,17.646649
-1.0,1,17.669336
-0.8,9,17.783808
-1.0,1,17.803018
-1.0,1,17.818928
-1.0,1,17.851349
-1.0,1,17.87018
-0.9,2,17.897753
-1.0,1,17.914908
-0.8,3,17.965814
-1.0,1,17.983768
-1.1,2,18.013578
-1.1,2,18.038859
-0.9,2,18.074138
-0.8,3,18.118076
-1.0,1,18.136249
-1.1,4,18.194578
-1.1,2,18.228723
-1.0,1,18.249775
-1.2,3,18.289153
-1.0,1,18.308264
-1.0,1,18.32417
-1.0,1,18.341159
-1.1,2,18.369197
-1.0,1,18.388449
-1.0,1,18.405259
-1.0,1,18.425392
-1.0,3,18.472142
-1.0,1,18.494628
-0.9,4,18.547689
-1.1,4,18.605284
-0.8,3,18.64389
-1.1,2,18.675987
-1.0,1,18.693258
-1.0,1,18.710848
-1.0,3,18.749207
-1.0,1,18.764356
-0.9,4,18.819079
-0.8,5,18.877645
0.9,2,18.917589
-1.0,1,18.933724
-1.0,1,18.954171
-1.2,3,18.994285
-1.1,4,19.043423
-0.9,2,19.069037
-0.9,2,19.098976
-1.1,2,19.121948
-1.0,1,19.140896
-1.0,1,19.159753
-1.1,2,19.188864
-1.0,3,19.23092
-1.0,1,19.249437
-1.0,1,19.263609
-1.0,1,19.284609
-1.0,1,19.304069
-1.0,1,19.323765
-1.2,3,19.363014
-1.0,1,19.37622
-1.1,2,19.404234
-1.0,1,19.424345
-1.1,2,19.460839
-1.1,2,19.490568
-1.0,1,19.510192
-1.0,1,19.529422
-0.9,2,19.559245
-1.1,2,19.584365
-1.0,1,19.604335
-1.0,1,19.619199
-1.0,1,19.639184
-1.0,1,19.661019
-1.0,1,19.678862
-1.0,1,19.704648
-0.9,2,19.729012
-1.0,1,19.743736
-1.2,7,19.824546
-1.0,1,19.843393
-1.1,2,19.874346
-1.1,2,19.897686
-1.1,2,19.929683
-1.0,1,19.943749
-1.0,1,19.963887
-1.0,1,19.978699
-1.0,3,20.019115
-1.0,1,20.038896
-1.2,3,20.086818
-1.0,1,20.103981
-1.0,1,20.125795
-1.2,5,20.189821
-1.0,1,20.205242
-1.1,2,20.23458
-1.0,1,20.253985
-1.1,2,20.288728
-1.0,1,20.30849
-1.0,1,20.333846
-1.0,1,20.353216
-1.0,1,20.373833
-1.1,2,20.402157
-1.0,1,20.420751
-1.0,1,20.438694
-1.0,1,20.455613
-1.1,2,20.483574
-1.1,2,20.509981
-1.0,1,20.528758
-1.0,1,20.546348
-1.3,4,20.594294
-1.0,1,20.610408
-1.0,1,20.628537
1.0,1,20.649677
-1.0,1,20.668804
-1.1,4,20.734981
-1.0,1,20.755472
-1.0,1,20.779398
-1.1,4,20.838596
-1.0,1,20.853863
-1.0,1,20.873206
-1.0,1,20.890393
-1.1,2,20.918782
-1.0,1,20.940177
-1.0,1,20.960406
-1.0,1,20.984448
-1.0,1,21.005087
-1.1,2,21.039114
-1.0,1,21.054203
-1.1,2,21.086077
-1.0,1,21.10453
-1.2,3,21.144478
-1.0,1,21.167135
-1.0,1,21.195269
-1.0,1,21.214895
-1.1,2,21.244711
-1.0,1,21.265278
-1.1,2,21.29938
-1.0,3,21.343732
-1.1,2,21.379211
-1.1,2,21.40507
-1.0,1,21.423242
-1.0,1,21.444745
-1.0,1,21.469869
-0.9,2,21.499806
-0.8,5,21.574096
-1.0,1,21.59521
-1.1,2,21.629554
-1.0,1,21.649376
-1.0,1,21.669866
-1.0,1,21.694587
-0.9,2,21.723521
-1.0,3,21.764396
-1.0,1,21.783696
-1.0,1,21.808503
-1.0,1,21.828314
-1.0,1,21.84912
-1.0,1,21.874312
-1.1,2,21.904739
-0.9,2,21.93506
-1.1,2,21.969567
-1.1,4,22.026793
-0.9,4,22.083395
-1.0,1,22.109831
-1.0,1,22.129196
-1.0,1,22.153557
-0.9,4,22.219438
-1.0,1,22.244725
-1.0,1,22.262903
-1.0,1,22.279542
-1.3,4,22.340434
-1.0,1,22.358533
-1.0,1,22.377773
-1.0,1,22.393457
-1.0,1,22.414318
-1.0,1,22.434012
-1.0,1,22.455775
-1.0,3,22.495317
-1.1,2,22.530719
-1.0,1,22.545441
-1.1,2,22.582541
-1.0,1,22.601561
-1.0,1,22.620203
-1.2,3,22.667989
-1.0,1,22.692762
-0.9,4,22.743405
-1.0,1,22.771253
-1.1,2,22.798138
-1.1,2,22.829886
-1.0,1,22.849547
-1.0,3,22.885344
-1.0,1,22.903032
-1.0,1,22.924746
-0.9,4,22.978954
-1.0,1,22.998695
-1.0,1,23.019283
-1.0,3,23.060135
-0.8,3,23.103053
-1.0,1,23.123567
-1.0,3,23.15976
-1.0,3,23.199232
-1.0,1,23.220033
-1.0,1,23.244655
-1.0,1,23.264742
-1.0,1,23.286991
-1.3,4,23.348934
-1.0,1,23.369295
1.0,1,23.389722
-1.0,1,23.408341
-1.0,1,23.42463
-1.2,3,23.474061
-1.0,1,23.494661
-1.1,2,23.52888
-1.1,2,23.559259
-1.0,1,23.58305
-1.0,1,23.601311
-1.0,1,23.619703
-1.0,1,23.638827
-1.0,1,23.65797
-1.0,1,23.678699
-0.9,2,23.704992
-1.0,1,23.718584
-1.2,3,23.755169
-1.2,5,23.838402
-1.1,2,23.869189
-1.0,1,23.888875
-1.1,4,23.944167
-1.0,1,23.964035
-1.1,2,23.996257
-1.0,1,24.014978
-1.2,3,24.06593
-1.0,1,24.087697
-1.0,3,24.134536
-1.0,1,24.155236
-1.1,2,24.195059
1.0,1,24.216772
-0.7,4,24.276861
-1.0,1,24.300595
-1.0,1,24.323756
-1.0,1,24.345927
-1.0,1,24.365084
-1.0,1,24.38373
-1.0,1,24.412557
-1.0,1,24.431303
-0.9,6,24.513518
-1.0,5,24.598523
-1.0,1,24.626825
-1.0,1,24.644448
-1.0,3,24.695704
-1.0,1,24.713816
-1.1,2,24.749095
-1.0,1,24.773295
-0.9,2,24.804532
-1.0,1,24.829237
-1.0,1,24.8544
-1.0,1,24.874541
-0.9,2,24.917978
-1.0,1,24.937112
-1.1,2,24.973958
-1.0,1,24.996778
-1.0,1,25.026542
-1.1,2,25.055769
-1.0,1,25.080996
-1.0,1,25.100233
-1.0,1,25.121411
-1.0,3,25.174851
-1.0,5,25.249598
-1.0,1,25.272296
-1.1,2,25.305684
-1.1,4,25.368718
-1.0,1,25.391025
-1.0,1,25.415201
-1.0,1,25.440957
-1.0,1,25.460628
-1.0,3,25.513563
-1.2,3,25.56465
-1.0,1,25.590812
-1.0,5,25.661858
-1.0,1,25.681102
-1.0,1,25.701772
-1.0,1,25.723388
-0.9,4,25.785963
-1.0,5,25.860368
-1.0,1,25.879191
-1.0,3,25.934036
-1.0,1,25.955878
-1.0,1,25.973231
-1.0,3,26.016586
-0.9,2,26.049421
-1.1,2,26.086456
-1.2,3,26.124382
-1.0,1,26.141547
-1.0,1,26.161466
-1.0,1,26.178607
-1.0,1,26.200577
-1.0,1,26.21921
-0.9,2,26.248831
-0.9,4,26.305582
-1.0,1,26.32448
-1.0,1,26.353397
-1.0,1,26.374056
-0.9,2,26.408239
-0.9,2,26.44405
-1.0,3,26.497766
-1.0,1,26.516408
-1.0,3,26.554785
-1.1,2,26.58391
-1.1,2,26.619272
-1.0,3,26.664645
-1.0,1,26.679311
-0.9,4,26.739024
-1.0,1,26.764098
-1.0,1,26.783802
-1.0,1,26.807053
-1.2,3,26.844939
-1.1,2,26.880955
-1.2,5,26.959348
-1.0,3,27.008665
-1.1,2,27.039812
-1.0,1,27.058224
-1.1,2,27.084382
-1.0,1,27.103505
1.1,2,27.13105
-1.0,1,27.148253
-1.1,2,27.179526
-0.9,2,27.206645
-1.0,1,27.224077
-1.1,2,27.262435
-1.0,1,27.280276
-1.0,1,27.298518
-1.1,6,27.374243
-1.1,2,27.407491
-1.0,1,27.429415
-1.1,2,27.464223
-1.0,1,27.483873
-1.0,1,27.504348
-1.0,1,27.523492
-0.9,2,27.548058
-1.2,3,27.588543
-1.0,1,27.608647
-1.3,4,27.663047
-0.9,2,27.689256
-1.2,3,27.731132
-1.0,1,27.74849
-1.0,1,27.764552
-1.0,1,27.783214
-1.0,1,27.806969
-1.2,3,27.844433
-1.2,7,27.941192
-1.0,3,27.988921
-1.0,1,28.003582
1.0,1,28.019267
-1.0,1,28.038515
-1.0,1,28.05259
-1.3,6,28.129598
-1.0,1,28.150078
-1.0,1,28.169097
-1.0,1,28.188894
-1.0,1,28.214007
-1.0,1,28.236771
-0.9,2,28.2688
-0.7,4,28.328454
-1.0,1,28.349694
-1.3,4,28.414721
-1.3,6,28.492079
-1.0,1,28.510643
-1.0,1,28.534801
-1.0,3,28.578643
-1.0,1,28.598667
