#{"t_start": 1747817012.4004107, "env_id": "None"}
r,l,t
-1.1,2,13.545056
1.0,1,13.560486
-1.0,1,13.585159
-1.0,1,13.600511
-1.1,2,13.631181
-1.0,5,13.710642
-1.0,1,13.729923
-0.9,2,13.758655
-1.0,1,13.773961
-1.0,3,13.815136
-1.0,1,13.834921
-0.9,6,13.897817
-1.1,2,13.924744
-1.1,2,13.953249
-1.0,1,13.975682
-1.0,1,13.99539
-0.9,4,14.044625
0.7,8,14.135298
-1.2,7,14.225653
-1.0,1,14.243929
-1.0,1,14.260244
-1.0,1,14.281101
-1.2,3,14.32556
-1.0,1,14.344456
-1.0,1,14.365268
-0.9,4,14.415291
-1.0,1,14.43433
-1.0,1,14.455185
-1.1,2,14.478877
-1.0,5,14.549737
-1.1,2,14.579761
-1.1,2,14.609219
-1.0,1,14.629964
-1.0,1,14.649316
-1.0,1,14.670447
-0.9,4,14.718457
-1.0,1,14.739689
-1.2,5,14.800009
-1.1,6,14.890184
-1.0,1,14.909775
-1.0,1,14.933956
-1.1,4,14.989484
-1.2,5,15.043134
-1.0,1,15.058953
-1.0,1,15.078627
-0.9,2,15.10986
-1.0,1,15.12928
-1.0,1,15.148861
-1.0,1,15.164854
-1.1,4,15.224001
-1.0,1,15.240335
-1.0,1,15.254598
-1.0,1,15.273226
-1.1,2,15.304477
-1.0,1,15.325595
-1.0,1,15.339877
-1.0,1,15.35876
-0.8,3,15.398581
-1.0,1,15.414728
-1.0,1,15.430403
-1.0,1,15.450204
-0.9,2,15.47935
-1.0,1,15.504894
-1.0,1,15.525677
-1.0,1,15.546322
-1.0,1,15.564236
-1.2,3,15.614631
-1.0,1,15.634146
-0.8,3,15.674541
-1.0,1,15.696078
-0.9,2,15.725519
-1.0,1,15.739604
-1.0,1,15.753361
-1.1,2,15.783572
-1.0,1,15.799114
-1.0,1,15.81433
-0.9,2,15.840148
-1.1,2,15.864359
-1.0,1,15.8791
-1.0,3,15.927001
-1.1,2,15.955576
-1.0,1,15.969697
-0.9,2,16.001118
-1.0,1,16.01949
-1.0,1,16.035527
-1.0,1,16.056263
-1.1,2,16.08456
-1.0,1,16.104778
-1.0,1,16.124407
-0.8,3,16.169297
-1.1,2,16.199854
-1.0,3,16.251746
-1.0,1,16.274408
-1.0,1,16.296439
-0.8,3,16.340574
-1.0,1,16.359417
-0.8,3,16.406471
-1.0,1,16.425012
-1.0,1,16.446151
-1.1,2,16.480363
-1.0,3,16.514851
-1.0,1,16.535679
-1.1,2,16.563226
-1.0,1,16.579096
-1.0,5,16.65092
-1.1,2,16.6743
-1.0,1,16.694596
-1.0,1,16.714102
-1.1,2,16.744282
-1.0,1,16.765985
-1.0,1,16.786388
-1.0,1,16.810029
-0.8,3,16.856304
-1.1,2,16.885638
-1.0,1,16.903856
-1.0,1,16.919374
-0.9,2,16.94425
-1.0,1,16.963173
-0.9,4,17.009164
-1.1,4,17.054696
-1.3,4,17.105051
-1.0,1,17.123975
-1.0,1,17.143639
-1.0,1,17.158536
-1.0,1,17.17439
-1.0,1,17.197008
-1.1,2,17.223657
-1.1,2,17.251112
-1.0,1,17.268472
-1.0,1,17.284474
-1.1,2,17.314267
-1.0,1,17.334707
-1.0,1,17.353816
-1.0,1,17.373828
-1.1,2,17.409675
-0.9,4,17.459327
-0.9,2,17.483326
-1.0,1,17.504421
-1.1,2,17.534163
-1.1,2,17.560098
-0.9,2,17.588345
-1.2,3,17.624819
-1.0,1,17.642938
-1.0,3,17.678777
-1.0,1,17.695664
-1.0,3,17.730819
-0.9,4,17.778376
-1.0,1,17.796076
-1.0,3,17.834511
-1.1,2,17.859919
-0.9,2,17.89054
-1.0,1,17.904311
-1.0,1,17.924658
-1.0,1,17.943927
-0.9,2,17.96852
-1.0,1,17.985619
-1.0,1,18.004596
-1.0,1,18.024173
-1.0,1,18.044804
-1.0,1,18.06463
-1.0,1,18.084256
-0.7,6,18.163714
-1.0,1,18.184849
-1.0,1,18.199361
-1.1,2,18.22444
-1.0,1,18.240494
-1.0,1,18.255144
-1.1,2,18.284455
-1.0,3,18.319917
-1.0,1,18.338205
-1.0,1,18.354061
-0.9,2,18.379797
1.0,3,18.426034
-1.0,3,18.464271
-1.3,4,18.515139
-1.0,3,18.55958
-1.1,2,18.58981
-1.1,2,18.621495
-1.0,1,18.64036
-0.9,2,18.670529
-1.0,1,18.69045
-1.1,2,18.720496
-1.0,1,18.738323
-1.0,1,18.759708
-1.0,1,18.778822
-1.0,1,18.798576
-1.1,2,18.82937
-1.0,1,18.84428
-1.0,1,18.863994
-1.0,1,18.880422
-1.0,1,18.900215
-1.1,2,18.930031
-1.0,1,18.949401
-1.0,1,18.969073
-1.1,2,19.003463
-0.9,2,19.028324
-1.4,5,19.084012
-1.0,1,19.098137
-1.1,2,19.125589
-0.9,2,19.155312
-1.0,1,19.174732
-1.0,1,19.194482
-1.0,1,19.214326
-1.0,1,19.233819
-1.0,1,19.253718
-1.2,3,19.294131
-1.1,4,19.345839
-1.1,2,19.373352
-0.9,2,19.407558
-0.9,4,19.459498
-1.0,1,19.479722
-0.9,2,19.508909
-1.0,1,19.529768
-1.0,1,19.54931
-1.1,2,19.580481
-1.0,1,19.599822
-1.1,2,19.629085
-1.1,2,19.654162
-1.0,1,19.673452
-1.0,1,19.690633
-1.0,1,19.710748
