#{"t_start": 1748427807.0659666, "env_id": "None"}
r,l,t
-0.9,2,13.88862
-1.0,1,13.909443
-1.0,1,13.933902
-1.2,3,13.974372
-1.0,1,13.994449
-1.0,1,14.019487
-1.0,1,14.033223
-1.0,1,14.057939
-1.0,1,14.078229
-1.0,1,14.101932
-1.0,1,14.126574
-0.9,2,14.15924
-1.0,1,14.179585
-1.0,1,14.193579
-0.9,2,14.228312
-1.1,2,14.254366
-1.1,2,14.28375
-0.8,3,14.328026
-1.0,1,14.342315
-1.0,3,14.385522
-0.8,3,14.434644
-1.0,1,14.454196
-1.0,1,14.474145
-1.0,1,14.494108
-1.0,1,14.51454
-1.2,5,14.574389
-1.0,1,14.594188
-1.1,2,14.629015
-1.1,2,14.659154
-1.0,1,14.678724
-1.0,1,14.703614
-0.9,2,14.738753
-1.0,1,14.753279
-1.0,1,14.774916
-1.0,1,14.792209
-1.0,1,14.81912
-1.0,1,14.838745
-1.1,2,14.874176
-1.0,1,14.893575
-1.1,2,14.929398
-1.0,3,14.975701
-1.0,1,14.993079
-1.0,1,15.019058
-1.1,4,15.073301
-0.9,2,15.108633
-1.0,1,15.12918
-0.9,4,15.179975
-1.0,3,15.223363
-0.9,2,15.254023
-1.0,1,15.274239
-0.9,4,15.338767
-0.8,3,15.384463
-1.0,1,15.398718
-1.0,1,15.415041
-1.1,2,15.444268
-1.0,1,15.459059
-1.2,3,15.498142
-1.4,7,15.589865
-0.9,4,15.654625
-1.0,1,15.679306
-1.1,8,15.803978
-1.0,1,15.829786
-1.3,6,15.928939
-1.0,1,15.94826
-0.9,2,15.974751
-1.1,2,16.004279
-1.0,3,16.044272
-1.0,3,16.083192
-0.9,2,16.10948
-1.0,1,16.133627
-1.0,1,16.152
-1.0,3,16.199841
-1.0,1,16.223325
-0.8,3,16.273976
-1.0,1,16.294052
-1.1,2,16.324349
-1.0,1,16.344154
-1.0,1,16.36322
-0.9,2,16.399304
-0.9,6,16.469321
-1.1,2,16.503502
-1.0,1,16.526286
-1.1,2,16.562293
-1.0,1,16.579176
-1.0,1,16.597655
-1.0,1,16.618067
-1.0,1,16.633422
-1.2,3,16.678499
-0.9,2,16.712978
-0.6,5,16.774888
-1.0,1,16.79418
-1.0,1,16.814909
-1.0,1,16.833389
-1.0,1,16.853718
-1.0,3,16.889973
-1.1,2,16.922738
-1.0,1,16.943491
-1.0,1,16.963169
-1.0,3,17.005505
-1.0,1,17.028316
-1.0,1,17.049328
-1.3,4,17.103589
-1.0,1,17.127236
